Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,Buzzer,
"C1, C17",0201,2,100nF,
"C12, C4",0201,2,1uF,
"C16, C2, C3",0201,3,10uF,
"C5, C6, C7, C8",0201,4,100uF,
"C9, R11, R13, R15, R16",0201,5,DNP,
D1,SOD3715X145N,1,1N5819,
FL1,Filter_1109-5_1.1x0.9mm,1,B39162B8813P810,
GM02SP1,Sequans Monarch 2 GM02SP,1,~,
IC1,BGA4C35P2X2_66X66X40,1,TPS7A0518PYKAR,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,SIM8055-6-1-14-01-A,1,SIM8055-6-1-14-00-1,
"J4, J5",CONUFL001-SMD-T,2,CONUFL001-SMD-T,
J6,1548130,1,1548130,
L1,Inductor 0.47uH,1,0.47uH,
L2,LQW03AW10NJ00D,1,LQW03AW10NJ00D,
Q1,NX3008PBK215,1,"NX3008PBK,215",
"R1, R10, R2, R20, R21, R3, R4, R5, R6, R7, R9",0201,11,100k,
"R12, R17",0201,2,0R0,
"R14, R24",0201,2,0,
"R18, R19",0201,2,5.1k,
"R22, R23, R25",0201,3,10k,
R8,0201,1,4.7k,
SW1,Adafruit_vibration_sensor_tall,1,Tilt switch,
SW2,PTS815SJK250SMTRLFS,1,SW_RST,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U4,TO-263-5_TabPin3,1,LM2575-3.3BU,
U5,BGU8019,1,BGU8019,
