Designator,Mid X,Mid Y,Rotation,Layer
BZ1,145.65,-74.6,180.0,bottom
C1,147.255,-108.0,0.0,top
C12,153.0,-106.88,270.0,bottom
C16,139.6,-73.85,90.0,bottom
C17,138.9,-73.85,90.0,bottom
C2,147.28,-108.8,0.0,top
C3,155.12,-109.6,0.0,top
C4,156.8,-84.2,270.0,top
C5,144.0,-87.88,90.0,top
C6,142.745,-96.6,180.0,bottom
C7,141.5,-107.85,180.0,bottom
C8,155.6,-88.52,90.0,bottom
D1,151.95,-102.15,270.0,top
FL1,141.0,-104.75,0.0,top
GM02SP1,154.9,-96.15,90.0,bottom
IC1,151.175,-106.325,0.0,top
J1,141.0,-112.0,0.0,top
J2,149.7,-107.3,90.0,bottom
J4,154.524,-102.468,0.0,bottom
J5,154.55,-97.468,0.0,bottom
J6,132.449999,-94.39,90.0,top
L1,145.206,-99.222,0.0,top
L2,139.6,-108.2,180.0,bottom
Q1,142.45,-101.5,0.0,top
R1,156.6,-86.055,90.0,bottom
R10,145.055,-104.4,180.0,top
R12,155.345,-100.6,0.0,bottom
R14,147.145,-107.2,0.0,top
R17,151.2,-101.2,0.0,bottom
R18,141.745,-109.0,0.0,bottom
R19,138.255,-110.4,0.0,bottom
R2,155.55,-78.99,0.0,bottom
R20,154.0,-106.92,90.0,bottom
R21,156.4,-107.745,90.0,top
R22,156.345,-106.2,90.0,top
R23,156.4,-104.655,90.0,top
R24,149.4,-106.6,180.0,top
R25,153.28,-107.6,0.0,top
R3,139.455,-79.2,0.0,bottom
R4,155.8,-83.68,270.0,bottom
R5,155.4,-81.08,270.0,bottom
R6,145.345,-87.6,0.0,top
R7,152.88,-105.8,0.0,top
R8,140.4,-98.145,90.0,top
R9,143.52,-104.4,180.0,top
SW1,133.926577,-86.544345,155.0,bottom
SW2,151.3,-111.6,0.0,top
U3,146.6,-79.85,0.0,top
U4,150.0,-93.0,0.0,top
U5,151.55,-78.35,270.0,bottom
